種類,公司類型,招聘職位,薪金,公司名稱,學歷,經驗/技能,職責
體育教練,健身,瑜伽導師,"$15,000/按月",YOGA WORLD,"高中教育,持有相關瑜伽培訓證書,廣東話良好",2年相關工作經驗;專業資格:擅長瑜伽並有相關教學經驗，懂得相關瑜伽知識理念。,"1.負責瑜伽課程的備課與授課內容. 2.指導學員進行正確的鍛煉,為學員制定瑜伽課程計劃."
體育教練,文娛及康體服務業,高爾夫運作及專業教練,"$15,000/按月,另有佣金",凱撒高爾夫股份有限公司,"高等教育,廣東話良好;普通話良好;英語良好","5年相關工作經驗;職業技能:高球教學軟件, Microsoft office","負責管理整個球場, 練習場, 會所, 高球專賣店的日常運作, 安排和分配球僮日常工作, 具備大型活動的現場管理能力, 出色的人際溝通, 團隊建設, 組織開拓能力, 具有豐富的高球教學技術, 不論個人及團體都能提供專業的高球知識, 持有P.G.A., U.G.A., N.G.F., U.S.G.A.等等的專業資格"
體育教練,健身中心,普拉提教練,"$15,000/按月",YOGA WORLD,"高中教育,持有相關普拉提培訓證書,廣東話良好",2年相關工作經驗;專業資格:擅長普拉提並有相關教學經驗，懂得相關普拉提知識理念。,"1.負責普拉提的課程準備及授課內容,為學員/團體班設計及執行訓練計劃. 2.負責指導學員進行正確的鍛煉,保護學員安全及指正學員動作."
體育教練,文化教育中心,武術導師,"$13,800/按月",澳門雲竹連文化教育中心,"高等教育,廣東話一般;普通話一般","8年相關工作經驗;職業技能:具備教學資格證, 擅長健身氣功, 通曉八段錦, 洗髓經易筋經, 王禽戲導引術等養生功;專業資格:具備教學資格證，擅長和熟練健身氣功，通曉八段錦、洗髓經、易筋經等，良好的組織溝通和教學能力",負責健身氣功的教學及輔導練習工作(八段錦、易筋經、洗髓經、六字訣、五禽戲、導引術等)
體育教練,教育,教練助理,"$12,000/按月",澳門劍擊學校有限公司,"高中教育,高中程度,廣東話良好;英語一般",1年相關工作經驗,負責協助教練準備上課前的工作
體育教練,,健身教練,"$12,000/按月",菲力斯健美運動協會,"高中教育,廣東話良好;普通話一般;英語良好",2年相關工作經驗,負責本店所有健身項目
電腦技術員,科技發展,網路系統工程師,"$35,000/按月",展浩科技發展有限公司,"高等教育,網絡工程相關學歷,廣東話良好",3年相關工作經驗;專業資格:熟悉H3C、CISCO、華為、Fortigate Firewall、Ruckus無線等設備配置,"準備售前技術方案，提供適合客戶公司的網絡技術方案和支持，提出優化建議,幫助客戶搭建網絡建設提供建議和優化,為數據中心的網絡安裝、配置和維護（路由器和交換機）,對新員工進行公司技術培訓;"
電腦技術員,顧問公司,PROGRAMMING ENGINEER,"$33,600-$80,000/按月",MTR CONSULTADORIA (MACAU) SOCIEDADE UNIPESSOAL LDA,"高等教育,Recognized degree in Engineering,廣東話良好;普通話一般;英語良好",8年相關工作經驗;專業資格:Corporate membership of a relevant recognized professional institution. Use of computerized scheduling software such as Primacera Project Planner.,"Develop, maintain and monitor detailed project programmes for civil / building / railway system / railway asset replacement and upgrade works to ensure that they are properly coordinated and completed."
電腦技術員,資訊科技業,信息技術方案架構師,"$30,000-$35,000/按月",博維資訊系統有限公司,"高等教育,計算機、通信、網路工程相關專業,廣東話良好;普通話良好;英語良好","8年相關工作經驗;職業技能:熟悉ICT基礎設施架構，具相關方面的深層技術知識; 強大的網絡安全及信息安全分析能力；熟悉中國大陸網絡安全等級保護條例以及澳門網絡安全法法律法規；具備大型項目的交付及管理經驗，能夠撰寫具體方案架構設計文檔以及工作報告；熟悉數據中心及網路方案與其相關產品，技術方案的設計與實施，項目應標流程。;專業資格:具備CISP(注册信息安全专业人员), CCIE(思科網絡專家級認證)或HCIE(華為網絡專家級認證)","工作職責 − 提供標準化數據安全、網絡安全、應用安全等方案設計； − 熟悉數據審核流程及優化工作； − 熟悉滲透測試、壓力測試、漏洞檢測流程； − 提供緊急網安技術支援工作； − 提供完整而可行之信息化設計, 實施方案及應用測試； − 熟悉測試智慧平台信息系統的負載均衡服務和災難復原的方案；包括操作步驟、操作期間影響的範圍、復原步驟為測試期間發生不可控或失敗的狀態、測試後檢測系統健康狀等； − 協調各部門跟進、故障排除、檢測及整理問題報告等； − 建立和維護客戶及廠家關係； − 駐場了解及監察項目進度, 並能夠通過收集到的信息進行進度匯報，善於資源運用； − 負責企業數據中台或數據治理諮詢服務專案，包括技術支援、使用者需求溝通、方案編寫和彙報工作； − 組織公司內部技術團隊培養工作； − 製定信息化技術規範而符合網絡安全法；"
電腦技術員,通訊公司,無線網絡優化高級工程師,"$30,000-$35,000/按月",中興通訊(澳門)有限公司,"高等教育,廣東話良好;普通話良好;英語良好",6年相關工作經驗;專業資格:通訊科或相關學科,"負責處理測試數據分析, 網絡數據規劃, 問題站點排查, 新功能測試部署, 網絡性能監督及提升和用戶投訴分析等工作. 與後方研發專家溝通技術專題解決方案, 以及網絡指標優化方案等."
