種類,公司類型,招聘職位,薪金,公司名稱,學歷,經驗/技能,職責
客戶服務員,電訊公司,門市銷售代表,"$12,000/按月,另有佣金",澳門電訊有限公司,"高等教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗;專業資格:- 良好人際關係及溝通技巧,"- 於銷售店內為客戶提供服務及推廣公司產品, - 收集客戶意見及把客戶諮詢轉為推廣機會, - 提出建議以改進銷售店運作及業務, - 支援店內行政工作"
接待員,酒店,客戶服務主管,"$22,500-$28,000/按月",澳門喜來登大酒店,"高中教育,廣東話良好;普通話良好;英語良好",3年相關工作經驗;專業資格:5 星級酒店相關工作經驗；掌握酒店工作知識並且十分熟悉日常運作,• 透過親身、電話或電子媒介等方式向賓客(包括但不限於企業伙伴、客戶、貴賓及名人)提供諮詢、預訂、票務、款接、侍候、導覽、陪伴及個人專屬服務，例如各類餐飲體驗、休閒娛樂活動、跟進客房佈置及清潔服務等，並於需要時處理結帳； • 確保根據標準與程序向賓客解釋及推銷服務、設施和產品； • 有時需外勤或陪同客戶外出，例如被指派到碼頭、機場或指定地點進行接送及協助客戶處理行李； • 必須與賓客建立良好的關係及保持與賓客的聯繫，以妥善迅速地處理他們的各種需求；通過互動提升賓客體驗，為賓客準備一些有趣小驚喜或小玩意，製造難忘/驚喜/浪漫時刻； • 需使用電子設備及系統處理及記錄工作相關事宜，包括發放通知及分派指示予有關單位，並處理有關單位之回饋； • 需記錄、點算及分發日常工作之相關用品，並進行匯報、補充及整理庫存等同類型工作； • 需被分派至不同的部門與區域以更有效地接待賓客，當中包括但不限於：酒店營運、市場推廣、娛樂統籌、廣告、電子商務及會議展覽等； • 需執行其他同類職務，且職責包含但不限於上級委派之工作； • 需協調其他工作人員； • 需編製更表； • 需負責組織及督導同類工作人員
接待員,食品及飲品工業,公共關係技術員(公關),"$18,000/按月",凱捷澳門飲料廠,"高中教育,高中,廣東話良好;普通話一般;葡語一般;英語良好",5年相關工作經驗,
接待員,酒店,Front Desk Agent,"$14,000-$19,000/按月",艾爾斯澳門有限公司,"高等教育,Hotel Management,廣東話良好;普通話良好;英語良好","1年相關工作經驗;職業技能:Microsoft Office, PMS system","Make sure that all guests get a warm welcome and assist them with checking in/out Create memorable moments for guests and connect people Be the secret guide to the city, curate intriguing itineraries for guests and answer any burning questions about the city Ensure the cleanliness of the premise at all times"
接待員,酒店,前台服務員,"$14,000-$19,000/按月",仁海酒店管理有限公司,"高等教育,Hotel Management,普通話良好;英語良好","1年相關工作經驗;職業技能:Microsoft Office, PMS System","•Create an exceptional and unique Caravel experience by helping customers resolve issues or/and make special arrangements •Push the boundaries in customer service by ensuring smooth operation of front desk services (i.e check in/out) •Live and share the Caravel Hotel brand with guests, imparting thoughtfulness, wit and delight •Establish positive guests relations"
接待員,零售,客戶服務助理,"$14,000-$15,000/按月",六福鐘錶,"高中教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗,店舖招待客人，做好客人引導、分流工作 ； 在工作權限內，幫助客人解決力所能及的事情。
接待員,酒店,前堂督導員,"$14,000-$16,000/按月",新麗華酒店,"高中教育,廣東話良好;普通話一般;英語良好",5年相關工作經驗,
接待員,物業管理、保安及清潔服務,高級客戶服務主任,"$13,000-$17,000/按月",信德物業及設施管理有限公司,"高中教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗,負責處理客戶查詢及投訴，檢查及撰寫報告，以及指導客戶服務主任執行日常相關工作。
接待員,博彩業,接待員,"$13,000-$16,000/按月",澳門彩票有限公司,"高中教育,高中,廣東話良好;普通話良好;英語良好",2年相關工作經驗;職業技能:熟悉MS Office操作及中英文輸入;專業資格:認識足、籃球運動及賽事資訊,現場接待客人並處理及即時跟進客戶查詢服務； 為客戶提供開戶、存/提金、或活動獎品領取等等相關工作； 提供準確賽事及處理投注資料
接待員,酒店,酒店接待員,"$11,000-$12,500/按月",駿龍酒店（澳門）有限公司,"高等教育,廣東話良好;普通話一般;英語一般",1年相關工作經驗;職業技能:一般電腦技能,"""- 協助酒店客人辦理入住及退宿登記； - 點算及核對每天櫃台現金流交易數目，確保金額準確及完成現金交接； - 協助跟進前台的日常營運及客房狀況等相關工作，如遇到突發或緊急之事情即時向當值主管進行匯報； - 為客人提供酒店的設施的資訊及本澳旅遊指南； - 跟進客人提出的意見訴求，並作出適當的處理。 """
接待員,保險,前台接待員,"$11,000-$12,000/按月",李瑪莉顧問,"高中教育,廣東話良好;普通話良好;略懂葡語;英語一般",1年相關工作經驗,"負責前台接待員工作,接聽電話及處理客人查詢,資料輸入及提供專業的客戶服務，維持良好客戶關係，處理主管及經理即時指派的工作等"
接待員,保險,前台接待員,"$11,000-$12,000/按月",LI MARIA NUNEZ,"高中教育,廣東話良好;普通話良好;略懂葡語;略懂英語",1年相關工作經驗;職業技能:需懂電腦軟件操作,"負責前台接待員工作,接聽電話及處理客人查詢,資料輸入及提供專業的客戶服務，維持良好客戶關係，處理主管及經理即時指派的工作等"
接待員,文娛及康體服務業,客服服務主任,"$11,000-$12,000/按月,另有佣金",飛翔室內跳傘,"高中教育,廣東話良好;普通話良好;英語一般",職業技能:word and excel,• 主要負責提供前台客戶服務，接待上門客人 • 現場銷售公司產品，包括飛行套票/會藉/商品/照片/視頻 • 負責收款，開發票及每日結算等工作 • 接聽客戶電話查詢和協助打出銷售電話 • 處理部門其他所需行政工作
接待員,酒店,前堂部客務服務員,"$10,000/按月",Mandarin Oriental Macau,"初中教育,廣東話良好;普通話良好;英語良好",1年相關工作經驗,負責接待客人辦理入住或離開時的手續，提供有關酒店的資料並須處理突發性的問題
接待員,文娛及康體服務業,接待員,"$10,000/按月",Macau Golf & Country Club,"高等教育,大學以上,廣東話良好;普通話一般;英語良好",1年相關工作經驗,提供客戶服務；為客人作入場登記及收費；處理有關日常文書工作。
接待員,商業顧問,客戶服務助理,"$10,000/按月,另有佣金",韜略商業顧問有限公司,"高中教育,廣東話良好;普通話一般;英語一般",職業技能:一般文書處理及電腦操作,透過親身、電話或電子媒介等方式向客人提供資訊；協助完成被指派之客戶服務工作，必要時需外勤工作
接待員,餐飲,貴賓室服務員,"$9,090-$15,300/按月",PPL Services Macau Limited,"高等教育,廣東話良好;普通話良好;略懂葡語;英語良好","1年相關工作經驗;職業技能:一般文書, 報表處理",於機場貴賓室為賓客提供優質的客戶服務
接待員,酒店,前台服務員,"$9,000-$10,000/按月",華發賓館,"初中教育,廣東話良好;普通話良好;略懂葡語;略懂英語",2年相關工作經驗;職業技能:基本知識,"接待客人入住, 登記客人資料, 處理賓館內一般事務"
接待員,酒店,資深客務接待員,"$9,000-$10,000/按月","Marina Clube Internacional-Recreio e Investimentos (Macau), S.A.","高等教育,廣東話良好;普通話良好;英語良好",3年相關工作經驗,協助處理所有客戶服務的相關工作事宜
接待員,物業管理,會所大使,"$9,000-$12,000/按月",豪舍管理有限公司,"高中教育,廣東話良好;普通話一般;英語一般",1年相關工作經驗;職業技能:懂MS Office軟件操作,負責處理會所的接待及日常營運工作。
站務員,運輸公司,站務員,"$8,000-$9,000/按月",港珠澳陸路交通運輸(澳門)股份有限公司,"高中教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗,負責跨境巴士站點現場維持秩序，咨詢服務，檢票站務管理服務工作
行李生,運輸公司,行李員,"$8,000-$9,000/按月",港珠澳陸路交通運輸(澳門)股份有限公司,"高中教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗,負責公司工作場所(包括巴士站點)協助旅客搬運行李及推廣咨詢服務等工作
接線生,博彩業,接線員,"$12,500-$18,500/按月",澳門彩票有限公司,"高中教育,高中,廣東話良好;普通話良好;英語良好",2年相關工作經驗;職業技能:熟悉MS Office操作及中英文輸入;專業資格:熟悉足、籃球運動及賽事資訊,負責接聽客戶電話，並準確地回覆客戶訴求、意見及處理客戶提出事務工作； 日常工作需要具備基本語言能力與客戶進行交流（包括粵語、國語、英語）； 配合公司推廣工作進行電話宣傳產品工作
接線生,電訊公司,客戶熱線代表,"$12,000/按月",澳門電訊有限公司,"高等教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗;專業資格:- 良好電話對答及溝通技巧,"- 解答客戶諮詢及提供詢問資料, - 透過熱線電話推銷公司的服務及產品, - 處理客戶投訴"
接線生,商業顧問,客戶熱線主任,"$10,000/按月,另有佣金",韜略商業顧問有限公司,"高中教育,廣東話良好;普通話一般;英語一般",職業技能:熟悉辦公室電腦軟件操作,負責接聽客戶電話，準確地回覆客戶訴求、意見及處理客戶提出之事務工作；安排及完善客戶之日常行程等工作
賭場服務員,酒店,娛樂場接待服務員,"$9,000-$9,500/按月",新澳門置地管理有限公司,"高中教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗,為娛樂場客人提供高質素之接待、餐飲、查詢等服務
市場勘探員,地產公司,短視頻運營策劃專員,"$12,000-$13,000/按月,另有佣金",龍華地產,"高中教育,高中程度,廣東話良好;普通話良好;英語一般",2年相關工作經驗,熟悉拍攝、運營、直播技能。 獨立撰寫腳本、剪輯視頻、平台粉絲維護及更新
拍賣員,零售,貨物鑒定師,"$35,000/按月",樂奢名品,"高中教育,高中程度,廣東話良好;普通話良好;英語良好","3年相關工作經驗;專業資格:具備奢侈品, 珠寶首飾, 箱包鑒定資格證書","奢侈品, 珠寶首飾, 箱包鑒定, 包括: 鍳定真偽及印制證書, 負責與客户溝通交流，以合適的價格達成成交, 完成公司和部門交待的其他工作."
市場推廣員,銀行及金融中介,產品研發崗,"$20,000/按月",中華(澳門)金融資產交易股份有限公司,"高等教育-大學本科或以上，金融、經濟專業背景或複合專業背景,廣東話良好;普通話良好;英語良好",3年相關工作經驗;職業技能:熟练使用办公软件;專業資格:對金融相關的政策法規、風險管理知識有深刻理解，熟悉證券交易管理流程; 熟悉金融資產交易流程;有相應職位管理工作經歷。,"""根據公司產品線路的戰略規劃，結合市場需求，對新產品的可行性進行論證並推動新產品的申報落地； 根據業務發展和市場反饋對公司現有產品進行完善； 負責日常市場資訊研究，為市場部門提供諮詢服務支持。"
市場推廣員,中藥房,市場策劃員,"$18,000/按月",金城中藥房,"高等教育,廣東話良好;普通話良好;英語良好",5年相關工作經驗;專業資格:市場調查、分析、企劃,1.分析市場情況，了解市場趨勢，結合公司品牌定位，推廣並制定一系列市場策劃活動。 2.提高品牌競爭力，對公司產品從企業品牌角度提出合理化建議。
市場推廣員,旅行社,中國地區推廣員,"$17,000/按月",澳門中國國際旅行社有限公司,"高中教育,廣東話良好;普通話一般;英語一般",2年相關工作經驗;專業資格:有經驗,負責中國地區市場推廣，聯絡內地客戶，組織旅客來澳門旅遊
市場推廣員,出版、印刷及媒體業,市場創意專員,"$15,000-$16,000/按月",中匯國際傳播有限公司,"初中教育,廣東話良好;普通話一般;略懂英語",1年相關工作經驗,負責市場創意專員的工作。
市場推廣員,推銷及發展不動產業,Marketing Assistant,"$15,000/按月",拾富物業股份有限公司,"高等教育,廣東話良好;普通話良好;英語一般",1年相關工作經驗,"Assist to manage the VIP Lounge in One Central, support the team to provide excellent customer services to tenants and VIP customers. Monitor the VIP Lounge's daily operations to ensure its efficiency and effectiveness. Answer VIP customers’ enquiries and handle complaints in a professional manner. Handle administrative work such as data entry, customers’ invoice registration and redemption. Execution of marketing activities including marketing promotion."
市場推廣員,酒店,市場部專員,"$14,000-$15,000/按月",英皇娛樂酒店(澳門)有限公司,"高等教育,市場專業,廣東話良好;普通話良好;英語良好",1年相關工作經驗,主要負責撰寫活動計劃書； 各項活動中協調部門之間的合作與溝通； 文書處理及數據收納； 具市場相關專業優先；
市場推廣員,家私建材等百货零售,招商專員,"$12,000-$18,000/按月",家之尊商業管理有限公司,"高等教育,專科或以上學歷,廣東話良好;普通話良好;略懂葡語;英語一般",2年相關工作經驗;職業技能:熟練,能積極開發新客戶，新市場﹔ 具較強的人際關係及溝通技巧以及敏銳的洞察力，英語及文書工作； 協助上級處理有關公司營運及業務方面工作； 有良好的職業經歷及綜合素質；
市場推廣員,零售,推廣策劃員,"$12,000-$20,000/按月,另有佣金",澳葡國際集團有限公司,"不論學歷,廣東話一般;普通話一般;英語一般",3年相關工作經驗,"熟悉電腦EXCEL，WORD，中,英文書處理，外出見客及處理銷售問題。對市場瞭解、有快消品豐富經驗、文案書寫能力強的優先入用。"
市場推廣員,貿易公司,業務員,"$11,000-$16,000/按月",亞洲啤酒(澳門)有限公司,"高中教育,廣東話良好;普通話一般;英語一般",2年相關工作經驗,"拓展啤酒銷售業務, 策劃並執行品牌活動, 發展業務管道, 熟練編輯PPT"
票務員,博彩業,票務員,"$13,000-$18,500/按月",澳門彩票有限公司,"高中教育,高中,廣東話良好;普通話良好;英語良好",2年相關工作經驗;職業技能:熟悉MS Office操作及中英文輸入;專業資格:熟悉足、籃球運動及賽事資訊,協助為客戶解決票務問題，核對票務及現金等數據交易記錄； 提供存/提款及投注等現金交易服務
收銀員,,收銀員,"$13,000-$15,000/按月",瀛方夜總會,"高中教育,高中或以上程度,廣東話一般;略懂普通話;英語良好",1年相關工作經驗;職業技能:需流利英文及對酒有一定的認識,"收銀兼併一些倉務工作,有時需搬運大件貨物"
收銀員,零售,收銀員,"$9,000-$9,200/按月",來來超級市場有限公司,"不論學歷,廣東話良好;普通話良好;略懂英語",1年相關工作經驗;職業技能:熟悉電腦操作;專業資格:有收銀工作經驗,熟悉電腦收銀工作及熟練使用電子支付工具
收銀員,零售,收銀員,"$9,000/按月",新花城超級市場,"初中教育,廣東話良好;普通話良好","職業技能:認識電腦POS收銀系統應用, 打字, 電子支付工具。",負責超市日常收銀工作
理貨員,零售,理貨員,"$9,000-$9,200/按月",來來超級市場有限公司,"不論學歷,廣東話良好;普通話良好",1年相關工作經驗,店內理貨、標價、點存、補貨上架等工作。
銷售員,零售,銷售主任,"$18,000-$22,000/按月,另有佣金",OTB澳門一人有限公司,"高等教育,或以上學歷,廣東話良好;普通話良好;英語良好",5年相關工作經驗,銷售產品與協助日常店舖營運；提供優質客戶服務；協助店長管理銷售員
銷售員,批發貿易代理,店務員,"$16,000-$18,500/按月,另有佣金",RIMOWA澳門有限公司,"高中教育,高中程度,廣東話良好;普通話良好;英語一般",2年相關工作經驗,
銷售員,零售,高級售貨員,"$15,000-$25,000/按月,另有佣金","PRADA MACAU CO., LTD.","高中教育,廣東話良好;普通話良好;英語良好",5年相關工作經驗,銷售及推廣所屬的商品區域之貨品，協助店鋪鋪面及其部門之日常行政和營運工作。
銷售員,建築公司,業務拓展員,"$15,000-$20,000/按月,另有佣金",南方建築置業有限公司,"高等教育,規劃設計、財務金融、工程管理專業,廣東話良好;普通話良好",3年相關工作經驗,負責市場開拓工作，對項目預算、決算有基本了解;
銷售員,服裝店,店長,"$15,000/按月",EP,"高中教育,廣東話良好;普通話良好;略懂英語",3年相關工作經驗,管理門店銷售及排班等
銷售員,建築,銷售工程師,"$15,000-$18,000/按月",恒豐工程(澳門)有限公司,"高等教育,機電工程 / 電子及電機工程,廣東話良好;普通話一般;英語一般","職業技能:Microsoft office, Auto CAD;專業資格:空調制冷及機電系統相關專業",負責協助產品銷售，項目跟進、成本計算及成本控制
銷售員,零售,店務員,"$15,000-$18,000/按月,另有佣金",GIVENCHY,"高中教育,高中程度,廣東話良好;普通話良好;英語良好",3年相關工作經驗,引導客人找到所需商品，達到銷售目標；與客人互動，建立良好關係，提供優質服務；品牌推廣，維護品牌形象。
銷售員,零售,店務員,"$15,000-$18,000/按月,另有佣金",GIVENCHY,"高中教育,廣東話良好;普通話良好;英語良好",3年相關工作經驗,引導客人找到所需商品，達到銷售目標；與客人互動，建立良好關係，提供優質服務；品牌推廣，維護品牌形象。
銷售員,零售,廚柜銷售主任,"$14,000-$15,000/按月,另有佣金",German Pool (Macao) Ltd.,"高中教育,廣東話良好;普通話一般;英語一般",2年相關工作經驗;專業資格:度尺,-主要負責店鋪廚柜及電器銷售，廚柜及家私上門度尺 -提供優質的服務 維持店鋪日常運作，售後服務等，完成公司制定銷售目標
銷售員,貿易及批發,外貿公關,"$14,000-$15,000/按月",永聯德富商貿管理(集團)有限公司,"高等教育,市場營銷,廣東話良好;普通話良好;英語良好",4年相關工作經驗;專業資格:良好溝通能力,"熟悉電腦EXCEL，WORD，中,英文書處理，外出見客及處理銷售問題，對香港公司"
銷售員,時裝,助理店舖經理,"$14,000-$16,000/按月,另有佣金",Chevignon,"高中教育,廣東話一般;普通話一般;略懂英語",2年相關工作經驗;專業資格:具備銷售管理經驗者優先考慮,負責管理店舖日常運作，提高員工士氣並指導員工以提供優質服務及推動前線銷售人員以達致公司所定之生意指標
銷售員,中藥房,店務員,"$14,000/按月",金城中藥房,"高中教育,廣東話良好;普通話良好;英語一般","1年相關工作經驗;專業資格:具中藥,藥理知識或具營養學相關知識。",負責店舖日常營運、貨品陳列及管理，向客人介紹公司產品並進行銷售工作，提供優質的客戶服務，配合公司活動進行推銷活動。
銷售員,零售,管理見習生,"$13,500/按月,另有佣金",莎莎化粧品有限公司,"高等教育,廣東話良好;普通話良好;英語良好",,專業培訓、分階段的崗位輪換、於店舖實習、與高級管理層接觸及有海外實習的機會。成功完成計劃者，可晉升為主管職級。
銷售員,零售,店長,"$13,000-$15,000/按月",來來超級市場有限公司,"高中教育,高中,廣東話良好;普通話良好;略懂英語",5年相關工作經驗;職業技能:熟練使用電腦辦公軟件;專業資格:能準確把握大型門店銷售及價格運作，對商品、行銷和業績提升等有較強的操盤技能；具備單店的商品管理、商品陳列、促銷策劃、現場管理和人員激勵等專業能力。,負責門店預算的制定和關鍵業績指標的達成，包括銷售額、毛利、營運成本、商品損耗、利潤、庫存等； 計畫並實施對直接下屬的目標管理，檢查、督導各級管理者的工作，協調店內各部門之間的關係，評估、考核直接下屬； 監督店內商品的進貨驗收、庫存管理、商品陳列、盤點、損耗、清潔、衛生、財務管理工作； 負責門店人員管理與發展、團隊建設；培訓、指導下屬； 執行總部下達的促銷活動、計畫和價格調整方案並及時回饋相關的執行情況； 負責部門設備、存貨等資產的管理及安全，指導員工合理使用和維護各項設備，提高設備的使用效率，開源節流，落實各項節能措施。
銷售員,零售,銷售員,"$13,000/按月,另有佣金",Dior,"高中教育,廣東話良好;普通話良好;英語一般",1年相關工作經驗;專業資格:良好溝通技巧及人際關係; 具責任心、獨立工作能力、主動、良好客戶服務,
銷售員,免稅店,銷售員 (高級美容專櫃),"$12,000-$14,000/按月,另有佣金",THE SHILLA 免稅店,"高中教育,廣東話一般;普通話一般;英語一般",1年相關工作經驗;專業資格:具備良好溝通技巧及責任感,負責推廣及售賣免稅商品，協助商品陳列、庫存管理、收銀等工作，並提供優質的銷售服務予顧客。
銷售員,水療會,營業員,"$12,000-$15,000/按月,另有佣金",東方皇堡水療會所,"小學教育,廣東話良好;普通話良好;英語一般",3年相關工作經驗,向客人推銷公司產品
銷售員,桑拿及按摩,營業員,"$12,000-$15,000/按月,另有佣金",晉會,"不論學歷,廣東話良好;普通話良好;英語一般",3年相關工作經驗,向客人推鎖公司產品
銷售員,零售,電器銷售員,"$12,000/按月",來來電器廣場有限公司,"高中教育,廣東話良好;普通話一般;略懂英語",1年相關工作經驗;專業資格:具備家用電器知識及銷售技能,負責店面所有銷售電器工作
銷售員,焊接器材行,焊接器材銷售員,"$12,000-$13,000/按月",長江焊接器材行,"高中教育,高中畢業,廣東話良好;普通話良好;略懂英語",5年相關工作經驗;專業資格:熟悉焊接機械知識，能懂得流利的操作。,處理焊接器材銷售。
銷售員,零售,店長,"$12,000/按月",BAUHAUS MACAU 1,"初中教育,廣東話良好;普通話良好;英語一般",1年相關工作經驗,主要管理店面事務工作
銷售員,資訊科技業,營銷主任,"$12,000-$14,000/按月",澳門新大陸萬博科技有限公司,"職業技術教育,不限,廣東話良好;普通話良好",,通過陌生拜訪或者電話形式尋找目標客戶，促成客戶安裝中銀POS機。 維護老客戶，定期上門回訪，瞭解客戶使用情況並及時解決客戶問題，提升客戶服務體驗。 根據公司指派的工作任務制定可執行的操作計劃，並保質保量完成每月的工作目標。 積極與其他部門溝通，並協力完成工作目標。 配合活動部門的執行落地，保證活動效果。 收集市場資訊，並按領導要求匯報每天工作情況。
銷售員,鞋店,顧客服務主任,"$12,000-$14,000/按月,另有佣金",Artigiano Footwear Ltd.,"高中教育,廣東話良好;普通話良好;英語良好",3年相關工作經驗,店舖管理 (包括領導、推動及分析店舖生意) 及人事管理。領導店舖銷售、客戶服務及一般店舖工作。
銷售員,鞋類銷售,售貨員,"$12,000/按月,另有佣金",Jipi Japa,"高中教育,廣東話良好;普通話良好;英語良好",2年相關工作經驗,"教導及培訓鞋類專業知識及指導給前線職員, 提供鞋類專業知識及銷售服務予顧客。"
銷售員,零售,店務助理,"$11,800-$14,000/按月",萬寧 Plus,"初中教育,廣東話良好;普通話一般;英語一般",,一般店務工作，包括顧客服務、收銀、整理貨品及清潔工作
銷售員,零售,銷售員,"$11,000/按月",澳門妝多多,"初中教育,廣東話良好;普通話一般;英語一般",2年相關工作經驗;專業資格:需有貿易﹑國內外化妝等知識採購經驗,"為客人提供專業﹑良好的服務態度, 具時尚審美觀, 具良好溝通技巧，主動積極，有責任感及能獨立自律工作, 完成公司制定的銷售目標, 良好粵語、英語及普通話"
銷售員,鞋店,售貨員,"$11,000-$13,000/按月,另有佣金",Artigiano Footwear Ltd.,"初中教育,廣東話良好;普通話一般;略懂英語",2年相關工作經驗,"提供鞋類專業知識及銷售服務給予客戶, 介紹產品及接待顧客, 確保店舖及貨倉整潔, 整理貨倉。"
銷售員,零售,高級店務員,"$10,300-$11,400/按月,另有佣金",馬拉松 Marathon Sports,"初中教育,略懂廣東話;略懂普通話;略懂英語",2年相關工作經驗;專業資格:對運動產品熟悉，具熱誠及幹勁以及具備銷售經驗者優先考慮,協理管理層處理日常運作，為新入職員工提供培訓及為客人提供優質的服務
銷售員,零售,高級業務員,"$10,000/按月",理宜攝影,"高中教育,廣東話良好;普通話一般;英語一般",2年相關工作經驗,負責銷售及顧客服務
銷售員,零售,店務員,"$10,000-$10,500/按月,另有佣金",時光天地,"高中教育,高中,廣東話良好;普通話良好;英語一般",1年相關工作經驗;職業技能:懂電腦文書處理,"對品牌腕錶及珠寶有認識, 有銷售的工作經驗,"
銷售員,食品製造,店務員,"$9,500-$10,000/按月",鉅記食品有限公司,"初中教育,廣東話良好;普通話一般",2年相關工作經驗,負責銷售、包裝、門面清潔(包括掃地、拖地)等工作。
食品質量控制員,食品及飲品工業,烘焙師,"$20,000-$30,000/按月",龍華製餅廠,"高中教育,廣東話良好;普通話一般;略懂英語",3年相關工作經驗,"需工場管理經驗, 有能力進行品質控制,成本預算及控制, 熟悉西餅麵包製作, 能研發新產品 具良好溝通技巧,帶領團隊完成公司生產計劃"
食品質量控制員,化工廠,品質保證員,"$19,000/按月",Hovione PharmaScience Ltd,"高等教育,廣東話良好;英語良好",5年相關工作經驗;專業資格:相關製藥行業生產質量控制的知識,"恊助進行生產質量質保控制相關工作, 如恊助審閱產品工藝流程等"
食品質量控制員,建築,水處理技工,"$15,000/按月",盈電工程有限公司,"高等教育,大專程度或以上,廣東話良好;普通話一般;英語一般",3年相關工作經驗;專業資格:對水質測試及化學品有基本認識及相關工作經驗,"於大型供排水系統抽取水質樣本, 進行水質測試, 如有需要須書寫水質改善方案及報告"
出納員,旅遊,出納員,"$12,000-$14,000/按月",飛揚國際旅遊有限公司,"高中教育,廣東話一般;普通話一般",2年相關工作經驗;職業技能:Word Excel,現金流水，應收應付賬
秘書,社團,會務秘書,"$12,000-$12,001/按月",澳門連鎖加盟商會,"高等教育,廣東話良好;普通話良好;英語良好",5年相關工作經驗;職業技能:能夠熟練使用辦公及修圖軟件;專業資格:要求熟悉電腦辦公軟件操作，文書功底強,1、制定社團每年工作計劃，包括定期策劃和組織考察、課程、講座、培訓等活動，負責協調秘書處內部工作分工，監督落實執行，年終編制工作總結； 2、日常接聽電話、收發電郵及文件；負責對外公共關係事務的協調處理，安排社團對外交流及接待來訪事務； 3、負責撰寫各項文書，包括草擬發言稿、新聞稿、通知稿、活動報告、會議記錄等及應領導要求整理其他資料； 4、及時向社團領導匯報工作情況，服從執行社團領導臨時工作安排等。
地勤文員,航運公司,GUEST SERVICE ASSISTANT,"$12,000-$15,000/按月",AIRASIA BERHAD,"高等教育,大學程度,廣東話良好;普通話良好;英語良好",專業資格:具航空公司經驗優先,機場客運服務
地勤文員,航空公司,航班保障員,"$12,000/按月",廈門航空有限公司澳門辦事處,"高等教育,本科學歷 ,廣東話良好;普通話良好;英語一般",5年相關工作經驗;專業資格:Eterm系統,負責機場全面工作：包括但不限於配載，值機，行查，登機，貨運，機坪運營，貨物裝卸。監督工作需覆蓋航班整個運行過程，包括航班進港，出港全流程。對機務，簽派，通信，氣象，油料，配載等方面出現的問題及時解決。
金融業文員,銀行及金融中介,Customer Service Officer,"$15,500/按月","BANCO NACIONAL ULTRAMARINO, S.A.","高等教育,Business Administration or related disciplines,廣東話良好;普通話良好;英語良好",1年相關工作經驗,Develop to Routine CSR Task (cash and noncash transaction); Selling and promoting the banking products; Handling the customers enquires; To take up any ad hoc tasks as assigned by the supervisor.
會計文員,博彩產品的銷(批發及零售)以及進出口,Junior Accountant,"$20,000-$22,000/按月",天使澳門有限公司,"高等教育,廣東話良好;略懂普通話;略懂葡語;英語良好",,"-Post and process journal entries to ensure all business transactions are recorded. -Update accounts receivable and payable, issue invoice and perform reconciliations. -Assist in processing balance sheets, income statements and other financial statements according to legal and company financial guidelines. -Assist with reviewing of expenses, payroll records etc. as assigned. -Update financial data in databases to ensure that information will be accurate and immediately available when needed."
會計文員,工程公司,會計,"$15,500/按月",友力工程有限公司,"高等教育,大專程度或以上,廣東話一般;普通話一般;英語一般",5年相關工作經驗,
會計文員,直通巴士服務,會計員,"$15,000-$20,000/按月",中澳直通巴士服務有限公司,"職業技術教育,會計文憑或以上/合格會計師,廣東話良好;普通話一般;英語一般",3年相關工作經驗;職業技能:會計文憑以上/合格會計師;專業資格:精通Microsoft office，瞭解MYOB者優先考慮。,負責集團旗下所有財務工作，包括：準備月度管理報告和績效分析 ;準備財務報表供審計員審查; 協助預算預測編制等
會計文員,裝修,會計,"$15,000/按月",澳華源室內設計裝修工程,"高等教育,廣東話良好;普通話一般;略懂葡語;略懂英語",3年相關工作經驗;專業資格:熟悉澳門財務會計制度政策、法規,1、能獨立處理公司全盤賬務、核算成本、計算工資、編制財務報表；負責公司往來賬款的審核、確定；處理政府文件、報稅及核數等；獨立主動及時完成主管交辦的相關事項。 2、必須有工程公司工作經驗，可以獨立完成工程量的核數和預算。 3、必須能獨立完成申報A組稅所需的報表文件。
會計文員,戲院,會計文員（中文會計）,"$15,000/按月",澳門教區社會傳播中心-澳門大會堂,"高中教育,高中程度,廣東話良好;略懂葡語;英語一般",5年相關工作經驗;職業技能:具有工商管理會計相關的技能證書;專業資格:能全盤處理會計、財務、稅務及現金收支及銀行票務工作,1. 負責影院及中心的日常會計帳務、編制月結/季結/年結會計報表、處理支票及零用現金收支; 2. 有序保留所有支出帳目記錄； 3. 踓進及處理稅務事宜並協助影院作出特定的統計及財務報浩。
會計文員,酒店,會計文員,"$14,000-$15,000/按月",新麗華酒店,"高等教育,會計,廣東話良好;英語一般",2年相關工作經驗,
會計文員,建築工程,會計文員,"$13,000/按月",浩鵬建築工程有限公司,"高中教育,廣東話良好","3年相關工作經驗;專業資格:MS OFFICE, 如有LCC中級證書優先考慮","負責日常會計及入帳, 應收應付帳目跟進, 制作財務報表, 處理人事及辦公室日常事務工作"
會計文員,會議展覽服務,會計助理,"$13,000-$15,000/按月",澳門世界貿易中心股份有限公司,"高等教育，會計專科學士學位或會計專科學校高級證書,廣東話良好;普通話一般;英語一般","4年相關工作經驗;專業資格:熟悉MS OFFICE文書作業系統(如excel,word,outlookmpowerpoint)",能獨立處理會計及人事日常工作
